,"Kategori"
"διανυκτερεύω,1273,false","ευ-stamme"
"διανύω,1274,false","υ-stamme"
"διαπεράω,1276,false","α-stamme"
"διαπλέω,1277,false","ε-stamme"
"διαπονέομαι,1278,false","ε-stamme"
"διαπορεύομαι,1279,false","ευ-stamme"
"διαπορέω,1280,false","ε-stamme"
"διαπραγματεύομαι,1281,false","ευ-stamme"
"διαπρίω,1282,false","ι-stamme"
"διαρπάζω,1283,false","ζ-stamme"
"διαρρήγνυμι,1284,false","μι-verbum"
"διασαφέω,1285,false","ε-stamme"
"διασείω,1286,false","ι-stamme"
"διασκορπίζω,1287,false","ζ-stamme"
"διασπάω,1288,false","α-stamme"
"διασπείρω,1289,false","ρ-stamme"
"διαστέλλω,1291,false","λ-stamme"
"διαστρέφω,1294,false","φ-stamme"
"διασῴζω,1295,false","ζ-stamme"
"διαταράσσω,1298,false","κ-stamme"
"διατάσσω,1299,false","κ-stamme"
"διατελέω,1300,false","ε-stamme"
"διατηρέω,1301,false","ε-stamme"
"διατίθημι,1303,false","μι-verbum"
"διατρίβω,1304,false","β-stamme"
"διαυγάζω,1306,false","ζ-stamme"
"διαφέρω,1308,false","ρ-stamme"
"διαφεύγω,1309,false","γ-stamme"
"διαφημίζω,1310,false","ζ-stamme"
"διαφθείρω,1311,false","ρ-stamme"
"διαφυλάσσω,1314,false","κ-stamme"
"διαχειρίζω,1315,false","ζ-stamme"
"διαχλευάζω,5512,true","ζ-stamme"
"διαχωρίζω,1316,false","ζ-stamme"
"διδάσκω,1321,false","σκ-verbum"
"δίδωμι,1325,false","μι-verbum"
"διεγείρω,1326,false","ρ-stamme"
"διενθυμέομαι,1760,true","ε-stamme"
"διερμηνεύω,1329,false","ευ-stamme"
"διέρχομαι,1330,false","χ-stamme"
"διερωτάω,1331,false","ρ-stamme"
"διηγέομαι,1334,false","ε-stamme"
"διϊκνέομαι,1338,false","ε-stamme"
"διΐστημι,1339,false","μι-verbum"
"διϊσχυρίζομαι,1340,false","ζ-stamme"
"δικαιόω,1344,false","ο-stamm"
"διοδεύω,1353,false","ευ-stamme"
"διορύσσω,1358,false","κ-stamme"
"διπλόω,1363,false","ο-stamm"
"διστάζω,1365,false","ζ-stamme"
"διϋλίζω,1368,false","ζ-stamme"
"διχάζω,1369,false","ζ-stamme"
"διχοτομέω,1371,false","ε-stamme"
"διψάω,1372,false","η-stamme"
"διώκω,1377,false","κ-stamme"
"δογματίζω,1379,false","ζ-stamme"
"δοκέω,1380,false","ε-stamme"
"δοκιμάζω,1381,false","ζ-stamme"
"δολιόω,1387,false","ο-stamm"
"δολόω,1389,false","ο-stamm"
"δοξάζω,1392,false","ζ-stamme"
"δουλαγωγέω,1396,false","ε-stamme"
"δουλεύω,1398,false","ευ-stamme"
"δουλόω,1402,false","ο-stamm"
"δράσσομαι,1405,false","κ-stamme"
"δύναμαι,1410,false","μι-verbum"
"δυναμόω,1412,false","ο-stamm"
"δυνατέω,1414,false","ε-stamme"
"δύνω,1416,false","ν-stamme"
"δυσφημέω,1426,true","ε-stamme"
"δωρέομαι,1433,false","ε-stamme"
"ἐάω,1439,false","α-stamme"
"ἐγγίζω,1448,false","ζ-stamme"
"ἐγγράφω,1449,false","φ-stamme"
"ἐγείρω,1453,false","ρ-stamme"
"ἐγκαινίζω,1457,false","ζ-stamme"
"ἐγκακέω,1573,false","ε-stamme"
"ἐγκαλέω,1458,false","ε-stamme"
"ἐγκαταλείπω,1459,false","π-stamme"
"ἐγκατοικέω,1460,false","ε-stamme"
"ἐγκαυχάομαι,2744,true","α-stamme"
"ἐγκεντρίζω,1461,false","ζ-stamme"
"ἐγκομβόομαι,1463,false","ο-stamm"
"ἐγκόπτω,1465,false","π-stamme"
"ἐγκρατεύομαι,1467,false","ευ-stamme"
"ἐγκρίνω,1469,false","ν-stamme"
"ἐγκρύπτω,1470,false","π-stamme"
"ἐγχρίω,1472,false","ι-stamme"
"ἐδαφίζω,1474,false","ζ-stamme"
"ἐθίζω,1480,false","ζ-stamme"
"εἴκω,1502,false","κ-stamme"
"εἰμί,1510,false","uregelmæssig "
"εἶπον,2046,false","uregelmæssig "
"εἰρηνεύω,1514,false","ευ-stamme"
"εἰρηνοποιέω,1517,false","ε-stamme"
"εἰσάγω,1521,false","γ-stamme"
"εἰσακούω,1522,false","υ-stamme"
"εἰσδέχομαι,1523,false","χ-stamme"
"εἴσειμι,1524,false","μι-verbum"
"εἰσέρχομαι,1525,false","χ-stamme"
"εἰσκαλέομαι,1528,false","ε-stamme"
"εἰσπηδάω,1530,false","α-stamme"
"εἰσπορεύομαι,1531,false","ευ-stamme"
"εἰστρέχω,1532,false","χ-stamme"
"εἰσφέρω,1533,false","ρ-stamme"
"εἴωθα,1486,false","uregelmæssig "
"ἐκβαίνω,1545,true","ν-stamme"
"ἐκβάλλω,1544,false","λ-stamme"
"ἐκδαπανάω,1550,false","α-stamme"
"ἐκδέχομαι,1551,false","χ-stamme"
"ἐκδημέω,1553,false","ε-stamme"
"ἐκδίδωμι,1554,false","μι-verbum"
"ἐκδιηγέομαι,1555,false","ε-stamme"
"ἐκδικέω,1556,false","ε-stamme"
"ἐκδιώκω,1559,false","κ-stamme"
"ἐκδύω,1562,false","υ-stamme"
"ἐκζητέω,1567,false","ε-stamme"
"ἐκθαμβέω,1568,false","ε-stamme"
"ἐκθαυμάζω,2296,true","ζ-stamme"
"ἐκκαθαίρω,1571,false","ρ-stamme"
"ἐκκαίω,1572,false","ι-stamme"
"ἐκκεντέω,1574,false","ε-stamme"
"ἐκκλάω,1575,false","α-stamme"
"ἐκκλείω,1576,false","ι-stamme"
"ἐκκλίνω,1578,false","ν-stamme"
"ἐκκολυμβάω,1579,false","α-stamme"
"ἐκκομίζω,1580,false","ζ-stamme"
"ἐκκόπτω,1581,false","π-stamme"
"ἐκκρεμάννυμι,1582,false","μι-verbum"
"ἐκλαλέω,1583,false","ε-stamme"
"ἐκλάμπω,1584,false","π-stamme"
"ἐκλανθάνομαι,1585,false","ν-stamme"
"ἐκλέγω,1586,false","γ-stamme"
"ἐκλείπω,1587,false","π-stamme"
"ἐκλύω,1590,false","υ-stamme"
"ἐκμάσσω,1591,false","κ-stamme"
"ἐκμυκτηρίζω,1592,false","ζ-stamme"
"ἐκνεύω,1593,false","ευ-stamme"
"ἐκνήφω,1594,false","φ-stamme"
"ἐκπαδάω,1530,true","α-stamme"
"ἐκπειράζω,1598,false","ζ-stamme"
"ἐκπέμπω,1599,false","π-stamme"
"ἐκπετάννυμι,1600,false","μι-verbum"
"ἐκπίπτω,1601,false","π-stamme"
