,"deklination ","stamme"
"βαλλάντιον,905,false","2.","ο-stamme"
"βάπτισμα,908,false","3.","τ-stamme"
"βαπτισμός,909,false","2.","ο-stamme"
"βαπτιστής,910,false","1. (-η)","α-stamme"
"Βαραββᾶς,912,false","1. (-ᾱ)","α-stamme"
"Βαραχίας,914,false","1. (-ᾱ)","α-stamme"
"Βαρθολομαῖος,918,false","2.","ο-stamme"
"Βαριησοῦς,919,false","uregelmæssig","uregelmæssig "
"Βαρναβᾶς,921,false","1. (-ᾱ)","α-stamme"
"βάρος,922,false","3.","ς-stamme"
"Βαρσαββᾶς,923,false","1. (-ᾱ)","α-stamme"
"Βαρτιμαῖος,924,false","2.","ο-stamme"
"βασανισμός,929,false","2.","ο-stamme"
"βασανιστής,930,false","1. (-η)","α-stamme"
"βάσανος,931,false","2.","ο-stamme"
"βασιλεία,932,false","1. (-ᾱ)","α-stamme"
"βασιλεύς,935,false","3.","ευ-stamme"
"βασίλισσα,938,false","1. (-ᾰ)","α-stamme"
"βάσις,939,false","3.","ι-stamme"
"βάτος (I),942,false","2.","ο-stamme"
"βάτος (II),943,false","2.","ο-stamme"
"βάτραχος,944,false","2.","ο-stamme"
"βδέλυγμα,946,false","3.","τ-stamme"
"βεβαίωσις,951,false","3.","ι-stamme"
"βελόνης,956,true","1. (-η)","α-stamme"
"βέλος,956,false","3.","ς-stamme"
"Βερνίκη,959,false","1. (-η)","α-stamme"
"Βέροια,960,false","1. (-ᾱ)","α-stamme"
"Βηθανία,963,false","1. (-ᾱ)","α-stamme"
"βῆμα,968,false","3.","τ-stamme"
"βήρυλλος,969,false","2.","ο-stamme"
"βία,970,false","1. (-ᾱ)","α-stamme"
"βιαστής,973,false","1. (-η)","α-stamme"
"βιβλαρίδιον,974,false","2.","ο-stamme"
"βιβλίον,975,false","2.","ο-stamme"
"βίβλος,976,false","2.","ο-stamme"
"Βιθυνία,978,false","1. (-ᾱ)","α-stamme"
"βίος,979,false","2.","ο-stamme"
"βίωσις,981,false","3.","ι-stamme"
"Βλάστος,986,false","2.","ο-stamme"
"βλασφημία,988,false","1. (-ᾱ)","α-stamme"
"βλέμμα,990,false","3.","τ-stamme"
"βοή,995,false","1. (-η)","α-stamme"
"βοήθεια,996,false","1. (-ᾱ)","α-stamme"
"βοηθός,998,false","2.","ο-stamme"
"βόθυνος,999,false","2.","ο-stamme"
"βολή,1000,false","1. (-η)","α-stamme"
"βόρβορος,1004,false","2.","ο-stamme"
"βορρᾶς,1005,false","1. (-ᾱ)","α-stamme"
"βοτάνη,1008,false","1. (-η)","α-stamme"
"βότρυς,1009,false","3.","ς-stamme"
"βουλευτής,1010,false","1. (-η)","α-stamme"
"βουλή,1012,false","1. (-η)","α-stamme"
"βούλημα,1013,false","3.","τ-stamme"
"βουνός,1015,false","2.","ο-stamme"
"βοῦς,1016,false","3.","ου-stamme"
"βραβεῖον,1017,false","2.","ο-stamme"
"βραδύτης,1022,false","3.","τ-stamme"
"βραχίων,1023,false","3.","ν-stamme"
"βρέφος,1025,false","3.","ς-stamme"
"βροντή,1027,false","1. (-η)","α-stamme"
"βροχή,1028,false","1. (-η)","α-stamme"
"βρόχος,1029,false","2.","ο-stamme"
"βρυγμός,1030,false","2.","ο-stamme"
"βρῶμα,1033,false","3.","τ-stamme"
"βρῶσις,1035,false","3.","ι-stamme"
